,Time,X,Y,Z,A,B,C,LineNumber,ProgTime,X_Norm,Y_Norm,Distance,X_Trans,Y_Trans
6299,25.196,718.4436681303689,-376.00648409318507,8.914707474711463,-0.000848988468954,-0.001009248584696,0.000426103897809,3,18.44,0.14933453248649609,0.9995988729800235,1.77,0.5942852770129337,0.8911862398589574
6300,25.2,718.4087058139316,-376.00609202633336,8.913173462494388,-0.000748507745964,-0.000865245596664,0.0003963578156,3,18.444,0.14846215100528548,0.999602499282916,1.769,0.5940260188471428,0.8911802224649744
6301,25.204,718.3740028032041,-376.00574570570257,8.912249640475586,-0.000633702603548,-0.000732496051016,0.000358379904965,3,18.448,0.1475962397332084,0.9996057024700759,1.769,0.5937686975968344,0.8911739637247236
6302,25.208,718.3395746174089,-376.0055259900804,8.910930695804954,-0.000531377228843,-0.000614185322345,0.000238004135208,3,18.452,0.14673718590668736,0.9996077346627815,1.837,0.5935134431378638,0.8911669274277814
6303,25.212,718.3050083643208,-376.00525782486585,8.909429486002102,-0.000451260419513,-0.000521555385964,0.000172559597479,3,18.456,0.1458746870181197,0.9996102149752307,1.836,0.5932571622796691,0.8911601807830323
6304,25.216,718.2703001265021,-376.0046811258832,8.907920575096309,-0.000362430551975,-0.000418865715299,8.7740311679e-05,3,18.46,0.1450086453194009,0.9996155489767656,1.836,0.5929997779003046,0.8911554598576356
6305,25.22,718.2355725896938,-376.00419677832303,8.906091721035242,-0.00025074224094,-0.000289770529862,-3.2635970103e-05,3,18.464,0.14414212207132057,0.9996200288019558,1.835,0.5927422736868302,0.8911501174907364
6306,25.224,718.2016143045123,-376.0050166759292,8.905097458488346,-0.000213253089028,-0.000227908901323,-0.000230241899343,3,18.468,0.14329479322858904,0.9996124454088485,1.767,0.5924907188887144,0.8911362546825928
6307,25.228,718.1676714571271,-376.00504731656855,8.90358099517353,-0.000159192175359,-0.000183950651607,-0.000388151546667,3,18.472,0.1424478495905277,0.9996121620075903,1.767,0.592239138233173,0.8911276670950261
6308,25.232,718.133662166319,-376.0052716344601,8.90220847161755,-0.000108599060951,-0.000125482238603,-0.0005578182503,3,18.476,0.14159924805283214,0.9996100872475963,1.767,0.5919871068222134,0.8911177698315288
6309,25.236,718.0991311549749,-376.00542843749594,8.900799995101616,-5.0391903942e-05,-5.8222826165e-05,-0.000675002721035,3,18.48,0.14073762851803492,0.9996086369456898,1.767,0.5917312019855461,0.891108194846207
6310,25.24,718.0654163714939,-376.0055002133855,8.899546676838622,-9.334306071e-06,-2.0043612868e-05,-0.000749899116455,3,18.484,0.13989637554200332,0.9996079730764674,1.767,0.5914813368906118,0.8910993894931059
6311,25.244,718.03095244285,-376.0060972570676,8.898542775940001,1.9610492727e-05,1.3396838265e-05,-0.000814601524072,3,18.488,0.13903642985812084,0.9996024509028333,1.767,0.5912260226991036,0.891086891487155
6312,25.248,717.9962565676242,-376.0055494381312,8.897324591577352,9.656492119e-05,0.000111553160579,-0.000797032461453,3,18.492,0.13817069663144252,0.9996075177871797,1.767,0.590968783577827,0.8910819820631893
6313,25.252,717.9619689404327,-376.00554036841856,8.896271033415049,0.00012431499286,0.000143602730592,-0.000835012034796,3,18.496,0.13731515003028483,0.9996076016747234,1.767,0.5907146758161366,0.8910735757612448
6314,25.256,717.928301645217,-376.00566427288413,8.895505376979708,0.000155931915995,0.00017085871944,-0.000896176093986,3,18.5,0.13647508198383856,0.9996064556581196,1.768,0.5904651957707886,0.8910644348333576
6315,25.26,717.8941970661904,-376.0062631957728,8.894979487897233,0.000162894685066,0.000206660320339,-0.000955833668061,3,18.504,0.13562410280971376,0.9996009161033366,1.768,0.5902125689031024,0.8910520140086036
6316,25.264,717.8605118756137,-376.0063531099969,8.89439409347944,0.00022121708157,0.00025549833315,-0.001105654691571,3,18.508,0.13478358823732114,0.9996000844691154,1.768,0.5899629615330035,0.8910430961042276
6317,25.268,717.8273472793801,-376.0075510467413,8.894423822661937,0.000185477629661,0.000204953907964,-0.001157984671007,3,18.512,0.13395606356120396,0.9995890045181776,1.769,0.5897174228099779,0.8910269078340919
6318,25.272,717.7931921936395,-376.00700027821256,8.893820865492746,0.000239974586382,0.000277133123825,-0.001129874569686,3,18.516,0.13310382414100563,0.9995940986838796,1.769,0.5894642262847943,0.8910221526832012
6319,25.276,717.7599443256476,-376.0072913723658,8.893653122916744,0.000211481670475,0.00024421543784,-0.00113548940247,3,18.52,0.13227422166378036,0.999591406297198,1.77,0.5892179139486322,0.8910120000042991
6320,25.28,717.7256134471312,-376.0072687107268,8.893359569750727,0.000263129751271,0.000303841462537,-0.00114600334071,3,18.524,0.1314175958533851,0.9995916158991234,1.837,0.5889635243124645,0.8910036752865371
6321,25.284,717.6919529151902,-376.0078612861908,8.893069762808457,0.000255482530088,0.000294995229006,-0.001129051171661,3,18.528,0.13057769656451162,0.999586135052911,1.838,0.5887142215422532,0.8909914080460488
6322,25.288,717.658143575904,-376.0073694501599,8.89309793729104,0.000329624018728,0.000371331598364,-0.001193408871145,3,18.532,0.12973408422726285,0.9995906841404295,1.839,0.58846362116436,0.8909863453735455
6323,25.292,717.6246108442629,-376.00766499047694,8.892953993496597,0.000351820505695,0.000396938681358,-0.001242672188952,3,18.536,0.12889737381791078,0.9995879506303104,1.84,0.5882152218199753,0.8909760935587202
6324,25.296,717.5907225970014,-376.0074343995973,8.892884343523606,0.000385270722581,0.000417033964058,-0.001252716852801,3,18.54,0.12805179256488944,0.9995900834103968,1.775,0.587964096733514,0.8909692673088797
6325,25.3,717.5575006718998,-376.0077505776912,8.893364943929985,0.000393562072484,0.000445084361761,-0.001212703907343,3,18.544,0.127222837415969,0.9995871590174484,1.776,0.5877180154078947,0.8909589548512309
6326,25.304,717.523299590659,-376.00733159149183,8.893423015694841,0.000447805812988,0.000507677663112,-0.001122189060868,3,18.548,0.12636945031373337,0.9995910343026453,1.776,0.5874645492841779,0.8909533096604768
6327,25.308,717.4891196880509,-376.0070745114064,8.89358162001662,0.000493157777662,0.000569249433465,-0.00108279464202,3,18.552,0.125516591661807,0.9995934120865699,1.778,0.5872112759754957,0.8909465887846579
6328,25.312,717.454771019856,-376.0062691765805,8.893664769389183,0.000569515589061,0.000648106169927,-0.001023557155002,3,18.556,0.12465952196245733,0.9996008607856783,1.779,0.5869566568056828,0.8909434870544894
